,Pack Price
3147,1.85
8758,3.75
6897,1.95
8808,18.9
6073,30.0
1386,3.0
5668,80.0
2065,7.53
9892,11.22
5831,7.43
1694,17.0
4775,100.0
825,139.0
2520,9.5
5317,80.0
1101,12.42
2067,2.9
156,17.0
2548,76.0
6233,1.45
8522,6.57
6149,1.4
3009,77.7
7076,11.22
2894,80.0
360,23.0
1826,11.4
9508,4.22
1571,15.26
4254,20.0
9701,1.95
2414,3.0
6996,8.11
3583,85.0
5449,6.85
7399,8.11
1481,16.0
9704,20.22
2982,11.45
23,82.19
1538,41.1
1517,2.9
6945,3.95
10078,10.29
5369,306.88
7207,33.6
1341,3.2
6399,4.65
6789,4.82
6042,16.96
6099,2.37
6214,89.0
4876,20.0
520,75.0
980,32.0
5947,4.79
450,7.4
1742,9.45
543,71.99
7937,19.36
3460,2.12
7868,1.63
1336,26.25
6183,2.5
5409,16.96
8424,10.0
8554,19.92
1365,8.76
5472,32.0
1915,2.15
4821,4.0
10150,4.7
7077,4.84
1959,16.96
843,75.0
6942,8.11
9587,6.76
2169,75.0
2683,80.0
577,71.99
4036,5.0
7064,15.5
5659,9.28
6961,6.52
5191,80.0
7836,11.15
2337,41.1
5372,4.51
342,27.0
8564,8.26
5036,1.75
2961,7.08
588,139.0
888,24.0
3483,6.85
508,350.0
4080,80.0
8387,13.49
10281,6.52
1374,17.0
8844,6.73
7840,1.43
598,82.2
9238,5.74
2143,20.0
2706,80.0
605,6.57
