,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
7742,30,98791,1352448.79,12135,29780.5,1896.13
7845,60,3386,38024.78,15942,4768.06,39.09
8107,30,3520,22598.4,197,3296.34,37.29
9052,60,11262,47863.5,641,3279.25,78.97
9850,240,2000,3800.0,688,1211.48,7.45
3541,60,8800,52272.0,1485,10334.23,61.52
916,30,3991,65851.5,1150,9898.8,105.36
4667,100,120,540.0,9,820.56,0.56
1165,30,28926,307194.12,4593,16901.37,602.1
5669,20,750,24000.0,242,1899.22,24.67
9807,60,104000,699920.0,9208,35832.12,719.52
7323,30,3400,47464.0,315,1981.6,58.71
8091,30,1571,35347.5,151,3545.1,58.32
4350,60,405,3122.55,75,1262.36,5.15
8181,60,10500,30975.0,537,6800.6,43.43
4668,100,1845,132840.0,1000,18841.09,286.4
6461,20,427,13664.0,149,3165.69,19.16
3290,120,560,46032.0,83,436.86,90.22
8048,60,69202,776446.44,9299,54009.25,1674.02
6962,60,715,8029.45,1630,18387.8,8.25
889,100,1500,120000.0,445,7120.0,235.2
9287,60,34374,73904.1,2346,1462.81,75.97
7022,60,6634,26204.3,6368,225.79,26.94
3818,100,1967,157360.0,1004,18612.64,259.64
7065,60,8010,19544.4,5350,4519.97,38.31
935,100,955,63985.0,164,1802.14,102.38
2780,30,5745,25909.95,488,4232.71,42.75
8722,30,1644,6641.76,97,1620.19,8.22
420,100,1500,120000.0,512,3906.29,192.0
7280,60,10080,27820.8,5466,19079.68,39.0
5769,100,2744,219520.0,1303,22617.38,307.77
836,20,10594,286038.0,3039,24025.77,560.63
441,40,476,36176.0,522,6924.83,57.88
765,20,1371,43872.0,468,5733.61,85.99
10100,240,30000,58500.0,11101,33216.14,82.02
7670,30,91166,375603.92,6073,25231.96,526.6
7593,30,120200,2394384.0,13222,4471.08,5162.29
7662,30,17556,106740.48,1373,4777.08,176.12
5461,30,19776,100857.6,2122,9272.18,141.4
4541,60,3974,6835.28,209,3743.84,7.03
7500,60,36100,220571.0,3955,13208.56,475.55
6327,30,2538,3172.5,165,1960.89,3.26
979,60,1176,10125.36,105,865.6,19.85
8902,30,26712,154395.36,2342,12016.69,332.88
7017,60,16500,59400.0,904,5012.88,61.06
6124,30,61386,92079.0,3262,12034.96,113.9
9865,60,6600,74052.0,843,6470.51,159.66
9581,60,90,608.4,5,721.36,0.85
8295,60,2085,8340.0,122,30936.1,10.32
8258,30,16099,198017.7,2004,4356.75,277.62
6388,60,515000,1251450.0,23655,37401.43,2064.89
2467,60,17500,68250.0,1292,1588.05,133.77
8269,60,15080,105560.0,1212,15181.0,130.58
2943,100,378,33642.0,180,4529.86,55.51
6534,100,4,356.0,1413,15387.63,0.5
2676,60,1604,11420.48,120,1799.88,22.38
1798,240,3035,5827.2,1133,7789.85,11.42
160,20,10000,270000.0,3336,28002.75,432.0
6711,240,26337,51357.15,9931,6888.32,84.74
6584,30,47227,272972.06,4959,9973.51,535.03
2595,60,50000,472500.0,4585,2938.92,926.1
354,40,862,65512.0,963,25080.52,128.4
6271,120,110,3977.6,33,995.22,7.8
6806,30,60000,234600.0,5000,24889.0,328.91
8151,240,26807,52273.65,9937,14700.0,86.25
1784,30,32696,858270.0,2873,7363.73,1682.21
6619,60,140,476.0,17,1073.46,1.03
2614,336,14,537.04,25,505.0,0.86
3407,60,8500,94775.0,3099,5018.69,185.76
208,100,6502,65.02,1927,24870.05,0.1
3632,100,2788,223040.0,1215,16337.03,275.9
9081,60,181926,443899.44,11438,4496.15,622.35
2255,60,5800,66120.0,654,7445.8,129.6
8369,30,32884,320947.84,4114,9264.13,329.93
7001,60,139000,935470.0,12307,8191.96,961.66
5287,30,14500,166605.0,1640,2503.07,206.09
8735,240,435,5254.8,116,3100.0,6.5
2950,30,47625,372427.5,3243,1881.24,802.95
5611,60,53239,431235.9,7696,33442.63,533.44
6988,30,100167,1026711.75,21570,24309.72,1055.46
6829,30,14368,52299.52,4409,17192.4,73.32
6685,100,1043,4964.68,332,4398.32,8.19
7477,60,42750,485212.5,4814,7100.04,951.02
2050,60,17000,121040.0,4374,1799.88,237.24
9179,60,60000,495600.0,7857,40857.69,613.06
7569,60,3073,48829.97,594,4996.2,80.57
707,20,500,16000.0,500,2442.32,25.6
5900,60,86467,633803.11,4364,4295.6,1366.48
267,60,2000,3800.0,251,1484.75,7.45
3225,30,1100,12100.0,95,2453.16,12.44
4623,20,15,435.0,6,325.67,0.72
2840,240,8474,25422.0,3206,2154.51,54.81
6563,60,130828,316603.76,6525,10984.82,682.6
3078,30,106589,480716.39,9061,9323.3,793.18
676,60,182,1729.0,40,86.4,2.77
5817,30,17188,180474.0,2388,3790.32,185.53
1263,270,252,19817.28,1736,14182.54,31.71
